record_id,identifier,canonical_process,city,stratum,quota,subject,subtype,class,unit,court_level,judgment_or_event_date,publication_date,outcome_confirmed,official_url_checked,official_source_type,full_document_accessed,validation_status,status_final,process_final_status,validation_tier,source_directly_checked,duplicate_group,notes
PILOTO-0043,0246821-72.2014.8.13.0027,02468217220148130027,Betim,Fraude bancária e PIX,13,Contratos Bancários,Bancários,Procedimento Ordinário,3ª VARA CÍVEL,1ª Instância,2014-01-01,2021-05-31,Sentença,https://www4.tjmg.jus.br/juridico/sf/proc_resultado.jsp?tipoPesquisa=1&comrCodigo=0027&listaProcessos=02468217220148130027,TJMG_SISCOM,False,METADADOS_OFICIAIS,METADADOS_OFICIAIS,METADADOS_OFICIAIS,V2_METADATA,NAO,,Confirmado via metadados oficiais de consulta de sentenças TJMG.
PILOTO-0044,0277963-60.2015.8.13.0027,02779636020158130027,Betim,Fraude bancária e PIX,13,Contratos Bancários,Bancários,Procedimento Ordinário,3ª VARA CÍVEL,1ª Instância,2015-01-01,2021-05-31,Sentença,https://www4.tjmg.jus.br/juridico/sf/proc_resultado.jsp?tipoPesquisa=1&comrCodigo=0027&listaProcessos=02779636020158130027,TJMG_SISCOM,False,METADADOS_OFICIAIS,METADADOS_OFICIAIS,METADADOS_OFICIAIS,V2_METADATA,NAO,,Confirmado via metadados oficiais de consulta de sentenças TJMG.
PILOTO-0001,0303784-08.2011.8.13.0027,03037840820118130027,Betim,Consumidor,12,Contratos Bancários,Espécies de Contratos,Procedimento Ordinário,1ª VARA CÍVEL,1ª Instância,2011-01-01,2019-12-18,Baixado,https://www4.tjmg.jus.br/juridico/sf/proc_resultado.jsp?comrCodigo=27&numero=1&listaProcessos=03037840820118130027,TJMG SISCOM,False,METADADOS_OFICIAIS,METADADOS_OFICIAIS,METADADOS_OFICIAIS,V2_METADATA,NAO,,Validado via consulta massiva SISCOM.
PILOTO-0045,0314402-70.2015.8.13.0027,03144027020158130027,Betim,Fraude bancária e PIX,13,Contratos Bancários,Bancários,Procedimento Ordinário,3ª VARA CÍVEL,1ª Instância,2015-01-01,2019-05-31,Sentença,https://www4.tjmg.jus.br/juridico/sf/proc_resultado.jsp?tipoPesquisa=1&comrCodigo=0027&listaProcessos=03144027020158130027,TJMG_SISCOM,False,METADADOS_OFICIAIS,METADADOS_OFICIAIS,METADADOS_OFICIAIS,V2_METADATA,NAO,,Confirmado via metadados oficiais de consulta de sentenças TJMG.
PILOTO-0027,0335258-55.2015.8.13.0027,03352585520158130027,Betim,Execução fiscal,13,Execução Fiscal,Tributário,Apelação Cível,Vara de Execuções Fiscais,2_INSTANCIA,11/08/2026,18/08/2026,,https://www5.tjmg.jus.br/jurisprudencia/pesquisaPalavrasEspelhoAcordao.do?&numeroRegistro=1&totalLinhas=102&paginaNumero=1&linhasPorPagina=1&palavras=%2522Execução Fiscal%2522 Betim&pesquisarPor=ementa&orderByData=2&dataPublicacaoInicial=01/01/2019&dataPublicacaoFinal=22/08/2026&referenciaLegislativa=Clique na lupa para pesquisar as referências cadastradas...&pesquisaPalavras=Pesquisar&,,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Relator: Des.(a) Júlio Cezar Guttierrez. Ementa: EMENTA: APELAÇÃO CÍVEL. EXECUÇÃO FISCAL . PRESCRIÇÃO INTERCORRENTE. RECONHECIMENTO SEM PRÉVIO CONTRA...
PILOTO-0046,0397444-85.2013.8.13.0027,03974448520138130027,Betim,Fraude bancária e PIX,13,Contratos Bancários,Bancários,Procedimento Ordinário,3ª VARA CÍVEL,1ª Instância,2013-01-01,2021-05-31,Sentença,https://www4.tjmg.jus.br/juridico/sf/proc_resultado.jsp?tipoPesquisa=1&comrCodigo=0027&listaProcessos=03974448520138130027,TJMG_SISCOM,False,METADADOS_OFICIAIS,METADADOS_OFICIAIS,METADADOS_OFICIAIS,V2_METADATA,NAO,,Confirmado via metadados oficiais de consulta de sentenças TJMG.
PILOTO-0002,0412282-96.2014.8.13.0027,04122829620148130027,Betim,Consumidor,12,Multa de 10%,Liquidação / Cumprimento / Execução,Procedimento Ordinário,1ª VARA CÍVEL,1ª Instância,2014-01-01,2021-05-31,Baixado,https://www4.tjmg.jus.br/juridico/sf/proc_resultado.jsp?comrCodigo=27&numero=1&listaProcessos=04122829620148130027,TJMG SISCOM,False,METADADOS_OFICIAIS,METADADOS_OFICIAIS,METADADOS_OFICIAIS,V2_METADATA,NAO,,Validado via consulta massiva SISCOM.
PILOTO-0078,0595331-86.2011.8.13.0079,05953318620118130079,Contagem,Execução fiscal,13,Execução Fiscal,Tributário,Embargos de Declaração-Cv,TJMG,2ª Instância,20/08/2026,21/08/2026,,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&&numeroRegistro=26&totalLinhas=2973&paginaNumero=26&linhasPorPagina=1&palavras=%2522Execução Fiscal%2522 %2522Comarca de Contagem%2522&pesquisarPor=ementa&orderByData=2&dataPublicacaoInicial=01/01/2019&dataPublicacaoFinal=22/08/2026&referenciaLegislativa=Clique na lupa para pesquisar as referências cadastradas...&pesquisaPalavras=Pesquisar&,,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Relator: Des.(a) Áurea Brasil. Ementa: Embargos rejeitados.
PILOTO-0079,0741528-88.2003.8.13.0079,07415288820038130079,Contagem,Execução fiscal,13,Execução Fiscal,Tributário,Apelação Cível,TJMG,2ª Instância,20/08/2026,21/08/2026,,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&&numeroRegistro=5&totalLinhas=2973&paginaNumero=5&linhasPorPagina=1&palavras=%2522Execução Fiscal%2522 %2522Comarca de Contagem%2522&pesquisarPor=ementa&orderByData=2&dataPublicacaoInicial=01/01/2019&dataPublicacaoFinal=22/08/2026&referenciaLegislativa=Clique na lupa para pesquisar as referências cadastradas...&pesquisaPalavras=Pesquisar&,,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Relator: Des.(a) Áurea Brasil. Ementa: Prescrição intercorrente. Diligências infrutíferas.
PILOTO-0063,1.0000.18.070263-0/002,10000180702630002,Contagem,Empresarial,12,Direito Empresarial,Propriedade Industrial,Apelação Cível,6ª Vara Cível,2ª Instância,25/05/2022,26/05/2022,Recurso improvido,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=18&ttriCodigo=1&codigoOrigem=0000&numero=070263&sequencial=002&sequencialAcordao=0,TJMG_ACORDAO,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Disputa sobre Propriedade Industrial (Marcas) em Contagem.
PILOTO-0064,1.0000.18.100874-9/004,10000181008749004,Contagem,Empresarial,12,Direito Empresarial/Fazenda,Tributário,Apelação Cível,3ª Vara Empresarial,2ª Instância,10/03/2022,17/03/2022,Recurso desprovido,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=18&ttriCodigo=1&codigoOrigem=0000&numero=100874&sequencial=004&sequencialAcordao=0,TJMG_ACORDAO,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Ação anulatória de débito fiscal (IPTU Contagem).
PILOTO-0065,1.0000.19.109058-8/000,10000191090588000,Contagem,Empresarial,12,Direito Empresarial,Registros Públicos,Conflito de Competência,2ª Vara Empresarial,2ª Instância,04/02/2020,10/02/2020,Conflito acolhido,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=19&ttriCodigo=1&codigoOrigem=0000&numero=109058&sequencial=000&sequencialAcordao=0,TJMG_ACORDAO,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Conflito de atribuições entre Juiz Diretor do Foro e Vara Empresarial.
PILOTO-0066,1.0000.20.017512-0/008,10000200175120008,Contagem,Empresarial,12,Direito Empresarial,Recuperação Judicial,Agravo de Instrumento-CV,Vara Empresarial,2ª Instância,22/04/2026,28/04/2026,Recurso desprovido,https://www5.tjmg.jus.br/jurisprudencia/pesquisaNumeroCNJEspelhoAcordao.do?numeroUnico=1.0000.20.017512-0/008,TJMG_ACORDAO,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Homologação de plano de recuperação judicial por adesão.
PILOTO-0067,1.0000.22.065123-6/001,10000220651236001,Contagem,Empresarial,12,Direito Empresarial,Ação Anulatória,Agravo de Instrumento-CV,1ª Vara Empresarial,2ª Instância,07/05/2025,02/06/2025,Recurso desprovido,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=22&ttriCodigo=1&codigoOrigem=0000&numero=065123&sequencial=001&sequencialAcordao=0,TJMG_ACORDAO,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Tutela de urgência em ação anulatória de registros imobiliários.
PILOTO-0068,1.0000.22.199628-0/001,10000221996280001,Contagem,Empresarial,12,Direito Empresarial/Fazenda,Ação Civil Pública,Agravo de Instrumento-CV,3ª Vara Empresarial,2ª Instância,17/02/2023,23/02/2023,Parcial provimento,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=22&ttriCodigo=1&codigoOrigem=0000&numero=199628&sequencial=001&sequencialAcordao=0,TJMG_ACORDAO,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Decisão em ação civil pública originária da 3ª Vara Empresarial de Contagem.
PILOTO-0059,1.0000.23.093213-9/002,50163722220228130079,Contagem,Consumidor,12,Consumidor,Seguro Imobiliário,Embargos de Declaração-CV,TJMG,Segunda Instância,09/11/2023,10/11/2023,Embargos não acolhidos,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=23&ttriCodigo=1&codigoOrigem=0000&numero=093213&sequencial=002&sequencialAcordao=0,TJMG - Espelho do Acórdão,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V4_DIRETO,SIM,,Comarca de Contagem; controvérsia subjacente sobre seguro e venda casada.
PILOTO-0023,1.0000.23.173233-0/003,50212562420228130027,Betim,Empresarial,12,Apuração de haveres,Acórdão,Apelação Cível,21ª Câmara Cível Especializada,2ª Instância,13/06/2024,11/12/2024,Trânsito em julgado confirmado,https://www4.tjmg.jus.br/juridico/sf/proc_complemento2.jsp?listaProcessos=10000231732330003,TJMG Consulta Processual,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V4_DIRETO,SIM,,Comarca de origem Betim; processo originário 5021256-24.2022.8.13.0027.
PILOTO-0028,1.0000.23.174154-7/001,10000231741547001,Betim,Execução fiscal,13,Tributário,Acórdão,Embargos à Execução Fiscal,1ª Câmara Cível,2ª Instância,22/02/2024,25/02/2024,,https://www4.tjmg.jus.br/juridico/sf/proc_complemento2.jsp?listaProcessos=10000231741547001,,True,METADADOS_OFICIAIS,METADADOS_OFICIAIS,METADADOS_OFICIAIS,V2_METADATA,NAO,,Embargos em 2ª instância
PILOTO-0069,1.0000.24.155891-0/000,10000241558910000,Contagem,Empresarial,12,Direito Empresarial,Recuperação Judicial,Agravo de Instrumento-CV,Vara Empresarial,2ª Instância,10/06/2024,17/06/2024,Pendente,https://www5.tjmg.jus.br/jurisprudencia/formEspelhoAcordao.do,TJMG_METADADOS,False,METADADOS_OFICIAIS,METADADOS_OFICIAIS,METADADOS_OFICIAIS,V2_METADATA,NAO,,Processo de recuperação judicial em trâmite; possível divergência de comarca detectada na pesquisa (Montes Claros).
PILOTO-0070,1.0000.24.162900-5/001,10000241629005001,Contagem,Empresarial,12,Direito Empresarial/Fazenda,Produção de Prova,Agravo de Instrumento-CV,3ª Vara Empresarial,2ª Instância,01/08/2024,01/08/2024,Recurso provido em parte,https://www5.tjmg.jus.br/jurisprudencia/pesquisaNumeroCNJEspelhoAcordao.do?numeroUnico=1.0000.24.162900-5/001,TJMG_ACORDAO,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Agravo contra decisão que indeferiu produção de prova.
PILOTO-0088,1.0000.24.336281-1/001,10000243362811001,Contagem,Fraude bancária e PIX,13,Consumidor,Serviços Bancários,Apelação Cível,TJMG,Segunda Instância,18/09/2024,23/09/2024,NAO_PROVIDO,https://www8.tjmg.jus.br/themis/baixaDocumento.do?tipo=1&numeroVerificador=1000024336281100120245642036,TJMG_THEMIS,SIM,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Bloqueio indevido PagSeguro; desvio produtivo.
PILOTO-0071,1.0000.25.005138-0/000,10000250051380000,Contagem,Empresarial,12,Direito Empresarial/Fazenda,Indenização,Conflito de Competência,2ª Vara Empresarial,2ª Instância,08/04/2025,11/04/2025,Conflito acolhido,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=25&ttriCodigo=1&codigoOrigem=0000&numero=005138&sequencial=000&sequencialAcordao=0,TJMG_ACORDAO,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Discussão de competência em ação de indenização contra o Estado.
PILOTO-0072,1.0000.25.061243-8/001,10000250612438001,Contagem,Empresarial,12,Direito Empresarial,Recuperação Judicial,Agravo de Instrumento-CV,Vara Empresarial,2ª Instância,15/05/2025,22/05/2025,Pendente,https://www5.tjmg.jus.br/jurisprudencia/formEspelhoAcordao.do,TJMG_METADADOS,False,METADADOS_OFICIAIS,METADADOS_OFICIAIS,METADADOS_OFICIAIS,V2_METADATA,NAO,,Processo de recuperação judicial identificado via metadados de sistema.
PILOTO-0089,1.0000.25.094026-9/001,10000250940269001,Contagem,Fraude bancária e PIX,13,Consumidor,Revisional Bancário,Apelação Cível,TJMG,Segunda Instância,24/04/2025,05/05/2025,CASSADA_SENTENCA,http://www8.tjmg.jus.br/themis/baixaDocumento.do?tipo=1&numeroVerificador=100002509402690012025897880,TJMG_THEMIS,SIM,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Direito à exibição de contrato bancário.
PILOTO-0090,1.0000.25.108499-2/001,10000251084992001,Contagem,Fraude bancária e PIX,13,Consumidor,Busca e Apreensão Bancária,Agravo de Instrumento-CV,TJMG,Segunda Instância,20/08/2025,25/08/2025,PROVIDO,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=25&ttriCodigo=1&codigoOrigem=0000&numero=108499&sequencial=001&sequencialAcordao=0,TJMG_JURISPRUDENCIA,SIM,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,GRP_5044042,Acórdão confirma abusividade de juros em busca e apreensão.
PILOTO-0051,1.0000.25.204141-3/001,10000252041413001,Contagem,Consumidor,12,Consumidor,Protesto Indevido,Apelação Cível,TJMG,Segunda Instância,02/07/2025,04/07/2025,Recurso não provido,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=25&ttriCodigo=1&codigoOrigem=0000&numero=204141&sequencial=001&sequencialAcordao=0,TJMG - Espelho do Acórdão,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V4_DIRETO,SIM,,Comarca de Contagem; empresa de crédito/endossatária e responsabilidade por protesto indevido.
PILOTO-0052,1.0000.25.222764-0/002,10000252227640002,Contagem,Consumidor,12,Consumidor,Energia Elétrica,Embargos de Declaração-CV,TJMG,Segunda Instância,09/12/2025,15/12/2025,Embargos não acolhidos,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=25&ttriCodigo=1&codigoOrigem=0000&numero=222764&sequencial=002&sequencialAcordao=0,TJMG - Espelho do Acórdão,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V4_DIRETO,SIM,,Comarca de Contagem; sequência ligada ao acórdão principal /001; contar processo uma vez.
PILOTO-0073,1.0000.25.230143-7/001,10000252301437001,Contagem,Empresarial,12,Direito Empresarial,Falência,Agravo de Instrumento-CV,1ª Vara Empresarial,2ª Instância,01/10/2025,06/10/2025,Recurso desprovido,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=25&ttriCodigo=1&codigoOrigem=0000&numero=230143&sequencial=001&sequencialAcordao=0,TJMG_ACORDAO,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Discussão sobre TFLF após decretação de falência.
PILOTO-0053,1.0000.25.242924-6/001,10000252429246001,Contagem,Consumidor,12,Consumidor,Transporte Aéreo Internacional,Apelação Cível,TJMG,Segunda Instância,17/04/2026,22/04/2026,Recurso desprovido,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=25&ttriCodigo=1&codigoOrigem=0000&numero=242924&sequencial=001&sequencialAcordao=0,TJMG - Espelho do Acórdão,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V4_DIRETO,SIM,,"Comarca de Contagem; acórdão discute cadeia de fornecedores, Tema 1.417/STF e fortuito interno."
PILOTO-0091,1.0000.25.261059-7/001,10000252610597001,Contagem,Fraude bancária e PIX,13,Consumidor,Revisional de Contrato Bancário,Apelação Cível,TJMG,Segunda Instância,03/09/2025,05/09/2025,PARCIALMENTE_PROVIDO,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=25&ttriCodigo=1&codigoOrigem=0000&numero=261059&sequencial=001&sequencialAcordao=0,TJMG_JURISPRUDENCIA,SIM,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Revisional de juros e seguro prestamista.
PILOTO-0054,1.0000.25.351331-1/000,10000253513311000,Contagem,Consumidor,12,Consumidor,Plano de Saúde,Conflito de Competência,TJMG,Segunda Instância,27/01/2026,09/02/2026,Competência reconhecida,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=25&ttriCodigo=1&codigoOrigem=0000&numero=351331&sequencial=000&sequencialAcordao=0,TJMG - Espelho do Acórdão,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Conflito de competência entre Vara Cível e Vara da Infância.
PILOTO-0055,1.0000.25.358012-0/000,10000253580120000,Contagem,Consumidor,12,Consumidor,Plano de Saúde (TEA),Conflito de Competência,TJMG,Segunda Instância,29/01/2026,30/01/2026,Conflito acolhido,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=25&ttriCodigo=1&codigoOrigem=0000&numero=358012&sequencial=000&sequencialAcordao=0,TJMG - Espelho do Acórdão,True,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,CONFIRMADO_OFICIAL,V1_STAGING,NAO,,Definição de competência para tratamento multidisciplinar de menor com autismo.
