ID,Módulo,Arquivo,Problema,Status atual,Ação,Risco,Dependências,Teste,Rollback,Ordem,Prioridade
FE-08,Frontend,lib/areas.ts + RamosHub:331 + RaioXProcesso:368,GET /areas consumido por 3 caminhos independentes,NÃO INICIADO,Consolidar em lib/areas.ts,Baixo,Nenhum,vitest componentes,revert PR,17,P2
FE-09,Frontend,services/legalResearch.ts + Conhecimento:808 + TabIndicadoresJuridicos:51,/rag/buscar consumido fora do service canônico,EXECUTADO (W6 2026-09-21 — F8: GET /rag/buscar servido via pesquisarFontesJuridicas() do service canônico; PR #1764),Migrar calls raw ao service,Baixo,escopo RAG no service,testes de busca,revert PR,18,P2
FE-10,Frontend,pages/dpt360/api.ts+radarApi.ts+reportApi.ts,3 módulos HTTP no mesmo domínio,NÃO INICIADO,Fundir em dpt360/api.ts,Baixo,Nenhum,testes dpt360,revert PR,19,P2
FE-11,Frontend,TabResumo:545/565 TabFerramentas:232/255 ContextualAIAssistant:204/268 Pecas,/ai/* consumido raw fora de services/ai.ts,NÃO INICIADO,Migrar ao service de IA,Baixo,contratos iguais,vitest tabs,revert PR,20,P2
FE-12,Frontend,frontend/src/pages/GestaoDocumental.tsx,Wrapper que embute Documentos+DataRoom (3 arquivos p/ 1 superfície),NÃO INICIADO,CONSOLIDAR (absorver ou plano de 1 arquivo),Baixo,rotas e tabs preservadas,test:navegacao,revert PR,21,P2
FE-13,Frontend,Conhecimento.tsx+ConhecimentoGovernado.tsx,2 arquivos p/ 1 superfície (tab),"EXECUTADO (W6 2026-09-21 — wrapper removido, painel na página canônica; PR #1764)",CONSOLIDAR,Baixo,tab da Inteligência,vitest tab,revert PR,22,P2
FE-14,Frontend,Sociedade.tsx+SociedadeWorkspace.tsx,2 arquivos p/ 1 superfície,NÃO INICIADO,CONSOLIDAR,Baixo,rota /gestao-escritorio/sociedade,vitest,revert PR,23,P2
FE-15,Frontend,frontend/src/config/moduleRegistry.tsx:309+186-190,component Casos nunca renderizado; comentário desatualizado citando páginas inexistentes,NÃO INICIADO,Limpar registro + corrigir comentário,Baixo,redirect /casos/novo,test:navegacao,revert PR,24,P2
FE-16,Frontend,/crm-leads (moduleRegistry hidden),Módulo oculto sem RBAC de rota (qualquer staff),NÃO INICIADO,Decidir: RBAC / desativar / absorver em Clientes,Médio,decisão de produto,test de RBAC,flag de módulo,25,P2
BE-01,Backend,routers/datajud.py+integrations/routers.py:55+datajud_intelligence.py+andamentos.py,Família DataJud: 4 routers + 4 services,EM EXECUÇÃO (W4 2026-09-21 — case_id na visão escopada de /intimacoes usa carteira do caso; visões globais seguem pendentes),CONSOLIDAR em datajud_service com aliases por 90 dias,Alto (contratos HTTP),telemetria route_usage ativa,test_datajud_* + contratos,aliases temporários,26,P2
BE-02,Backend,routers/peca_geracao+legal_docs+motor_peca+defesas_revisoes*+advogado_estilo,6 routers/6 services para peças,"EM EXECUÇÃO (W5 2026-09-21 — duplo mount /defesas-revisoes/avancado encerrado, 6→5 routers, contratos preservados; advogado_estilo 0-consumidor → W12; PR #1763)",CONSOLIDAR (W5) mantendo contratos,Alto,HITL e numeração preservados,testes de geração de peça,aliases,27,P2
BE-03,Backend,services/ingestors/ vs services/juris_import/,2 famílias de ingestão RAG com overlap lexml/stj/tjmg,NÃO INICIADO,Unificar pipeline (W6),Médio,juris_import/stj já importa ingestors,testes de ingestão,revert PR,28,P2
BE-04,Backend,routers/regulatorio.py,Router montado SEM nenhum teste (único N absoluto),NÃO INICIADO,Criar teste antes de qualquer mudança,Baixo,Nenhum,pytest novo,revert PR,29,P1
BE-05,Backend,routers com só get_current_user (60+: dossie_estrategico workflow tasks notifications indice_risco extratos…),Sem gate de papel — qualquer autenticado acessa,NÃO INICIADO,Avaliar RBAC por endpoint (nem todos precisam),Médio,mapa de roles atual,testes de RBAC,revert PR,30,P2
BE-06,Backend,services/visual_law_pdf.py + document_version_chain_readiness_service.py + document_version_audit_service.py,3 services mortos (0 consumidores em app/),NÃO INICIADO,EXCLUIR APÓS MIGRAÇÃO (W10) + limpar testes,Baixo,0 refs comprovado,pytest verdes,revert PR,31,P3
BE-07,Backend,models/dataroom_teses_v4_compat.py (dataroom_salas teses_juridicas_v4),Tabelas órfãs pós-migração 114 (origem permanece no banco),NÃO INICIADO,INVESTIGAR: dump evidência + telemetria + DROP em W12,Médio,backup prévio + ADR,testes de teses/data_room,migration aditiva nova,32,P3
BE-08,Backend,models/preliminar.py (4 tabelas migration 140),Fundação da fusão Sala+Raio-X nunca ativada,NÃO INICIADO,INVESTIGAR: ativar cutover ou arquivar com ADR,Alto (dados novos?),nenhum consumo em runtime,testes sala/raio-x,migration aditiva,33,P3
BE-09,Backend,models/wiki.py (wiki_paginas),LEGADO SEM SUPERFÍCIE autodeclarado,NÃO INICIADO,Export dados → EXCLUIR APÓS MIGRAÇÃO (W12),Baixo,export obrigatório,testes,revert via dump,34,P3
BE-10,Backend,services/{indices_service,radar_legislativo,infosimples_service,transparencia_service,google_drive_service,backup_service}.py,7 tabelas criadas em runtime (CREATE TABLE IF NOT EXISTS) — drift Alembic; indices_service cria DUAS: indices_bcb_cache E indices_bcb_cache_meta (175-192),NÃO INICIADO,Trazer todas (incl. indices_bcb_cache_meta) para migrations + models (W11),Médio,ambientação de staging,pytest _dblevel,downgrade por migration,35,P2
BE-11,Backend,models/case_parte.py:30-40 + especializado.py:380-383,PII plaintext legado em case_partes e trabalhista_cases.cid (Fase B pendente),NÃO INICIADO,Confirmar legacy_plaintext_count=0 → remover colunas (W11),Alto (dados),rollout 158 concluído,testes de criptografia,downgrade aditivo,36,P1
BE-12,Backend,models/process.py:34-41,Campos homônimos legados em cases vs processes,NÃO INICIADO,CONSOLIDAR leitura via processo_service (W11),Médio,reconcílio já existe (processo_service:102),testes de processos,migration aditiva,37,P2
BE-13,Backend,fee_ledger_compat.py,Quitação legada fees.status vs canônica fee_payments,NÃO INICIADO,Backfill controlado → desativar compat (W11),Alto (financeiro),backfill + conciliação,testes financeiros,aliases mantidos,38,P2
BE-14,Backend,routers/ai.py:82,/ia/analisar-caso e /ia/resumir-documento usam motor legado ai_service (porta canônica pendente),EXECUTADO (W8 2026-09-22 — motor do Núcleo atrás de IA_MOTOR_CANONICO, apelidos de compatibilidade resposta/analise/ai_log_id/aviso/fontes_usadas, gate de ownership antes do motor; test_ia_motor_canonico_w8.py 8/8; PRODUÇÃO com IA_MOTOR_CANONICO=false até W8.2 — rollback sem deploy),Migrar para /ai/core (W8) mantendo resposta canonizada,Médio,capacidades.canonizar já pronto,eval suite + AILog diff,flag de porta (IA_MOTOR_CANONICO=false sem deploy),39,P1
BE-15,Backend,jurisprudencias_internas vs knowledge_docs(jurisprudencia),Sobreposição de conteúdo jurídico,INVESTIGADO (W6 2026-09-21 — veredito: canônico knowledge_docs; /jurisprudencias 0-consumidor → W10/W12; docs/audit/VEREDITO_B7_JURISPRUDENCIA_2026-09-21.md),INVESTIGAR com runbook de dedup (W6),Médio,RUNBOOK_DEDUPLICACAO existente,testes de RAG,revert PR,40,P3
UI-01,UI,frontend/src/main.tsx:5-30,11 camadas CSS legadas em produção (rollback visual),NÃO INICIADO,Expurgo progressivo por wave (W10-W12) com evidência de 0 uso,Médio,grep de classes por camada,visual 4 viewports,remoção de import,41,P3
UI-02,UI,LEGACY_REDIRECTS (48 rotas),Redirects legados mantidos indefinidamente,NÃO INICIADO,Expurgo após 90 dias de telemetria route_usage (W12),Baixo,telemetria ativa,test:navegacao,restaurar rota,42,P3
NAV-01,Navegação,frontend/src/config/canonicalNavigation.ts,Menu 11 domínios → alvo 9 módulos,EXECUTADO (Onda 1 2026-09-21 — menu 9 default ON com rollback por perfil (localStorage.ejc_menu9 / VITE_EJC_MENU_9) e telemetria; PR #1753 validado e2e em produção),Wave 1 do plano (flag + telemetria),Médio,W1 completa,test:navegacao,flag de menu,43,P2
LGPD-01,LGPD,routers/lgpd_registros.py + services/client_anonimizacao.py,Retenção/anonimização operantes; ROPA sem PII,NÃO INICIADO,Manter; auditoria anual de expurgo (purga_lgpd dom 02:30),Baixo,jobs ativos,testes LGPD,gates env,44,P1
